Az [deg],EL_Limit [deg]
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,12
47,12.2
48,13
49,13.2
50,13.3
51,13
52,13
53,13.1
54,13.2
55,13.3
56,13.4
57,13.5
58,13.6
59,13.8
60,13.9
61,14
62,14.1
63,14.2
64,14.4
65,14.4
66,14.5
67,14.6
68,14.6
69,14.7
70,14.8
71,14.8
72,14.9
73,15
74,15
75,15
76,1.6
77,1.6
78,1.6
79,1.6
80,1.6
81,1.6
82,1.7
83,2.5
84,2
85,0.8
86,0.8
87,52
88,52
89,43.6
90,43.6
91,33
92,0
93,0
94,0
95,0
96,0
97,0
98,0.8
99,0.8
100,0.8
101,0.8
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,2
110,2
111,2
112,3.5
113,3.5
114,3.5
115,3.5
116,3.5
117,3.5
118,4.5
119,4.5
120,4.5
121,0
122,0
123,0
124,0
125,0
126,0
127,3
128,3
129,3
130,3.5
131,3.5
132,3.5
133,3.5
134,3.5
135,3.5
136,4.3
137,4.3
138,7.2
139,7.5
140,7.2
141,7.2
142,9.8
143,9.8
144,10.2
145,10.2
146,9.8
147,6.1
148,4.3
149,4.3
150,4.4
151,4.4
152,5.7
153,5.1
154,4.7
155,4.5
156,5.2
157,5
158,5.9
159,5.9
160,5.9
161,5.9
162,4.7
163,4.7
164,4.7
165,4.7
166,4.7
167,4.7
168,4.7
169,4.7
170,4.7
171,4.7
172,4.7
173,1
174,1
175,1.5
176,1.3
177,1.3
178,1.3
179,6.5
180,6.5
181,6.5
182,6.5
183,6.5
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1.5
194,1.8
195,1.8
196,1.8
197,1.8
198,1.8
199,1.8
200,1.4
201,1
202,1.2
203,1.3
204,1.4
205,1.4
206,1.4
207,1.4
208,1.4
209,1.4
210,1.4
211,1.4
212,1.4
213,1.4
214,1.4
215,1.4
216,1.4
217,1.4
218,1.6
219,1.8
220,2
221,2.2
222,2.3
223,2.3
224,2.3
225,2.3
226,2.3
227,2.3
228,2.3
229,2.3
230,2.4
231,2.4
232,2.4
233,2.4
234,2.4
235,2.4
236,2.5
237,2.5
238,2.5
239,2.6
240,2.6
241,2.6
242,2.9
243,3.2
244,3.2
245,3.2
246,3.2
247,3.2
248,3.2
249,2.9
250,2.9
251,3
252,3
253,3
254,3
255,2.9
256,2.8
257,2.8
258,2.7
259,2.7
260,2.6
261,2.6
262,3.1
263,3.2
264,3.2
265,3.4
266,3.5
267,3.6
268,3.7
269,3.8
270,3.8
271,3.8
272,4
273,4
274,3.9
275,3.9
276,4
277,4
278,4.3
279,4.4
280,4.5
281,4.3
282,4.3
283,4.4
284,4.5
285,4.5
286,4.4
287,4.5
288,4.5
289,4.3
290,4.2
291,3.8
292,3.6
293,3.2
294,3.1
295,2.8
296,2.8
297,2.8
298,2.8
299,2.8
300,3
301,3
302,3
303,3
304,3
305,3
306,3
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1.5
321,1.5
322,1.5
323,1.5
324,1.4
325,1.4
326,1.3
327,1
328,0.9
329,0.9
330,0.4
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0.4
339,0.3
340,0.3
341,0.4
342,0.5
343,0.5
344,0.6
345,0.8
346,1
347,1
348,1
349,1.2
350,1.2
351,1
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,
